Date,Open,High,Low,Close,Adj Close,Volume
2020-12-04,144.070007,148.720001,144.000000,148.449997,146.708511,3058600
2020-12-07,147.300003,148.330002,146.479996,147.419998,145.690613,2637200
2020-12-08,146.979996,150.139999,146.910004,149.300003,147.548569,2754400
2020-12-09,154.589996,158.940002,153.679993,158.000000,156.146500,8364400
2020-12-10,159.869995,162.000000,158.179993,161.000000,159.111313,6430600
2020-12-11,159.720001,161.179993,159.059998,160.039993,158.162567,3441900
2020-12-14,160.690002,162.289993,157.830002,157.910004,156.057556,4390100
2020-12-15,159.429993,168.229996,158.050003,167.429993,165.465851,6974300
2020-12-16,169.690002,173.190002,166.750000,172.050003,170.031677,6009900
2020-12-17,171.729996,173.899994,171.100006,172.630005,170.604874,3521100
2020-12-18,172.520004,172.889999,169.000000,171.399994,169.389282,7356400
2020-12-21,168.880005,169.000000,165.800003,168.779999,166.800049,3655900
2020-12-22,167.710007,168.389999,165.869995,166.720001,164.764206,2447900
2020-12-23,167.449997,168.000000,165.470001,165.479996,163.538742,1697300
2020-12-24,165.850006,167.940002,165.850006,166.660004,164.704895,627200
2020-12-28,167.210007,167.600006,165.210007,166.500000,164.546783,1482000
2020-12-29,166.630005,167.750000,165.910004,166.580002,164.625839,1712000
2020-12-30,167.440002,168.389999,166.679993,167.009995,165.050797,1413300
2020-12-31,167.070007,169.139999,166.289993,168.839996,166.859314,1643600
2021-01-04,169.020004,169.479996,163.100006,165.500000,163.558517,3164800
2021-01-05,165.190002,166.660004,163.199997,166.320007,164.368896,2322600
2021-01-06,162.979996,167.279999,162.970001,164.320007,162.392365,3619700
2021-01-07,164.179993,167.119995,161.779999,165.830002,163.884659,3025500
2021-01-08,166.220001,166.860001,164.639999,166.410004,164.457840,3438100
2021-01-11,185.000000,189.300003,182.020004,185.940002,183.758728,11396500
2021-01-12,182.789993,184.240005,177.440002,178.800003,176.702515,7179300
2021-01-13,179.830002,187.619995,179.339996,185.500000,183.323898,7303900
2021-01-14,185.270004,188.960007,184.580002,186.690002,184.499939,4413200
2021-01-15,186.800003,191.779999,186.800003,190.770004,188.532074,6624600
2021-01-19,196.000000,199.520004,194.070007,198.479996,196.151627,7729100
2021-01-20,198.770004,201.770004,198.679993,201.259995,198.899017,5335800
2021-01-21,203.699997,204.720001,198.009995,202.350006,199.976242,8698800
2021-01-22,202.039993,206.539993,200.559998,206.139999,203.721756,6128800
2021-01-25,208.240005,212.529999,208.089996,212.350006,209.858917,5959100
2021-01-26,212.550003,213.229996,210.600006,212.720001,210.224579,6601500
2021-01-27,211.070007,212.020004,205.100006,207.570007,205.134995,7358000
2021-01-28,208.000000,211.839996,207.570007,210.119995,207.655075,5460400
2021-01-29,211.960007,218.000000,204.460007,207.970001,205.530289,8401700
2021-02-01,209.460007,209.889999,203.100006,203.139999,200.756958,5383800
2021-02-02,204.380005,205.899994,197.350006,197.559998,195.242416,5314600
2021-02-03,197.809998,200.589996,196.889999,196.960007,194.649460,3679000
2021-02-04,196.809998,201.880005,195.639999,201.619995,199.254776,2924300
2021-02-05,201.619995,202.919998,200.850006,201.770004,199.403030,2732200
2021-02-08,202.380005,206.429993,201.910004,205.770004,203.356110,2909300
2021-02-09,203.750000,204.949997,200.320007,201.710007,199.343750,2661300
2021-02-10,204.470001,205.550003,201.639999,204.389999,201.992294,3062700
2021-02-11,202.869995,204.179993,201.619995,202.580002,201.039612,3544700
2021-02-12,201.649994,208.220001,201.149994,207.289993,205.713791,2611300
2021-02-16,205.979996,207.490005,203.610001,205.759995,204.195419,2741900
2021-02-17,205.009995,206.690002,204.270004,206.460007,204.890106,3329900
2021-02-18,205.300003,205.419998,200.949997,201.119995,199.590698,3919400
2021-02-19,201.130005,202.880005,200.330002,200.919998,199.392212,3434900
2021-02-22,199.179993,201.610001,197.960007,200.679993,199.154053,2263600
2021-02-23,200.309998,204.309998,198.679993,202.479996,200.940369,3287700
2021-02-24,201.669998,206.460007,201.630005,204.520004,202.964844,2848800
2021-02-25,203.570007,205.550003,201.750000,203.820007,202.270172,2386700
2021-02-26,206.699997,206.990005,202.059998,204.889999,203.332047,3887900
2021-03-01,205.779999,208.240005,204.779999,206.470001,204.900024,2797400
2021-03-02,208.889999,209.949997,204.100006,204.139999,202.587738,3445300
2021-03-03,203.369995,204.309998,199.710007,202.000000,200.464005,3660300
2021-03-04,203.789993,204.740005,198.610001,200.539993,199.015106,4308400
2021-03-05,201.020004,207.669998,200.880005,206.919998,205.346588,3875900
2021-03-08,207.000000,210.889999,206.320007,207.029999,205.455765,3300300
2021-03-09,208.339996,212.160004,206.059998,206.110001,204.542755,4227300
2021-03-10,206.889999,208.039993,204.389999,205.449997,203.887772,3400200
2021-03-11,206.509995,207.250000,204.270004,205.210007,203.649597,4037300
2021-03-12,204.889999,208.460007,202.279999,208.080002,206.497787,4541400
2021-03-15,193.009995,193.179993,188.199997,189.160004,187.721649,12388500
2021-03-16,191.539993,191.619995,187.229996,190.899994,189.448395,6194200
2021-03-17,189.729996,189.830002,186.559998,186.729996,185.310120,5134200
2021-03-18,186.020004,187.089996,183.800003,183.929993,182.531403,4240000
2021-03-19,184.699997,185.800003,183.880005,184.289993,182.888672,6048600
